2018.01.19_07.33.46,-8.388217,51.9356,0,B,2,3G,-98,-14,3,7,-84,1948,243504,157,D,-101,-14,-8.378733,51.930323,875.85
2018.01.19_07.33.47,-8.388217,51.9356,0,B,2,3G,-98,-14,3,6,-81,1745,218080,140,D,-100,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.49,-8.388217,51.9356,0,B,2,3G,-98,-14,3,6,-81,1970,246240,320,D,-100,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.50,-8.388217,51.9356,0,B,2,3G,-99,-14,5,6,-81,1810,226288,238,D,-96,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.51,-8.388217,51.9356,0,B,2,3G,-99,-14,5,9,-76,1893,236664,307,D,-96,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.52,-8.388217,51.9356,0,B,2,3G,-96,-13,4,9,-79,1832,229024,414,D,-96,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.53,-8.388217,51.9356,0,B,2,3G,-96,-13,4,9,-81,1821,227656,385,D,-96,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.54,-8.388217,51.9356,0,B,2,3G,-98,-13,6,9,-81,2112,264024,288,D,-98,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.55,-8.388217,51.9356,0,B,2,3G,-98,-13,6,8,-84,1909,238600,357,D,-98,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.56,-8.388217,51.9356,0,B,2,3G,-104,-14,6,8,-87,2057,257184,316,D,-100,-11,-8.378733,51.930323,875.85
2018.01.19_07.33.57,-8.388217,51.9356,0,B,2,3G,-104,-14,6,8,-86,1723,215344,163,D,-100,-11,-8.378733,51.930323,875.85
2018.01.19_07.33.59,-8.388217,51.9356,0,B,3,3G,-100,-11,5,4,-83,1521,190152,76,D,-100,-11,-8.398621,51.924689,1407.42
2018.01.19_07.34.00,-8.388217,51.9356,0,B,3,3G,-100,-11,9,12,-75,1449,181144,213,D,-105,-14,-8.398621,51.924689,1407.42
2018.01.19_07.34.01,-8.388217,51.9356,0,B,3,3G,-92,-11,9,14,-84,1718,214776,452,D,-96,-14,-8.398621,51.924689,1407.42
2018.01.19_07.34.02,-8.388217,51.9356,0,B,3,3G,-92,-11,9,9,-88,1559,194824,464,D,-96,-14,-8.398621,51.924689,1407.42
2018.01.19_07.34.03,-8.388217,51.9356,0,B,3,3G,-105,-13,12,9,-85,1685,210672,428,D,-108,-16,-8.398621,51.924689,1407.42
2018.01.19_07.34.04,-8.388217,51.9356,0,B,3,3G,-105,-13,12,9,-85,1351,168832,431,D,-108,-16,-8.398621,51.924689,1407.42
2018.01.19_07.34.05,-8.388217,51.9356,0,B,3,3G,-101,-12,13,9,-85,1423,177840,400,D,-109,-18,-8.398621,51.924689,1407.42
2018.01.19_07.34.06,-8.388217,51.9356,0,B,3,3G,-101,-12,13,9,-83,1438,179776,280,D,-109,-18,-8.398621,51.924689,1407.42
2018.01.19_07.34.08,-8.388217,51.9356,0,B,3,3G,-106,-13,14,9,-89,1412,176472,190,D,-112,-18,-8.398621,51.924689,1407.42
2018.01.19_07.34.09,-8.388217,51.9356,0,B,3,3G,-106,-13,14,8,-84,1116,139536,184,D,-112,-18,-8.398621,51.924689,1407.42
2018.01.19_07.34.10,-8.388217,51.9356,0,B,3,3G,-103,-13,8,7,-,847,105904,253,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.11,-8.388217,51.9356,0,B,3,3G,-103,-13,8,12,-85,1248,155952,259,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.12,-8.388217,51.9356,0,B,3,3G,-102,-10,10,15,-,1007,125856,390,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.13,-8.388217,51.9356,0,B,3,3G,-102,-10,10,12,-79,793,99064,583,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.14,-8.388217,51.9356,0,B,3,3G,-100,-12,17,12,-83,744,93024,605,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.15,-8.388217,51.9356,0,B,3,3G,-100,-12,17,11,-86,657,82080,584,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.16,-8.388217,51.9356,0,B,3,3G,-104,-12,17,11,-86,514,64296,567,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.17,-8.388217,51.9356,0,B,3,3G,-104,-12,17,11,-86,460,57456,569,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.19,-8.388217,51.9356,0,B,3,3G,-98,-12,17,12,-81,453,56657,655,D,-,-,-8.398621,51.924689,1407.42
2018.01.19_07.34.20,-8.388217,51.9356,0,B,3,3G,-98,-12,17,12,-83,492,61560,464,D,-,-,-8.398621,51.924689,1407.42
